doc_id,last,first,filing_type,state_district,filing_date_raw,disclosure_date,declarant_name,url_pdf
20026537,Allen,Richard W.,P,GA12,1/16/2025,2025-01-16,Richard W. Allen,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026537.pdf
20026727,Allen,Richard W.,P,GA12,2/20/2025,2025-02-20,Richard W. Allen,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026727.pdf
20027927,Allen,Richard W.,P,GA12,3/12/2025,2025-03-12,Richard W. Allen,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027927.pdf
20027810,Auchincloss,Jake,P,MA04,2/21/2025,2025-02-21,Jake Auchincloss,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027810.pdf
20026517,Beyer,Donald Sternoff,P,VA08,1/6/2025,2025-01-06,Donald Sternoff Beyer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026517.pdf
20027932,Beyer,Donald Sternoff,P,VA08,3/8/2025,2025-03-08,Donald Sternoff Beyer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027932.pdf
8220747,Bilirakis,Gus M.,P,FL12,2/6/2025,2025-02-06,Gus M. Bilirakis,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/8220747.pdf
20024346,Bresnahan,Rob,P,PA08,2/13/2025,2025-02-13,Rob Bresnahan,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20024346.pdf
20027923,Bresnahan,Rob,P,PA08,3/7/2025,2025-03-07,Rob Bresnahan,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027923.pdf
20027940,Bresnahan,Rob,P,PA08,3/10/2025,2025-03-10,Rob Bresnahan,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027940.pdf
20029034,Bresnahan,Rob,P,PA08,3/27/2025,2025-03-27,Rob Bresnahan,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20029034.pdf
20027913,Carter,Earl Leroy,P,GA01,3/6/2025,2025-03-06,Earl Leroy Carter,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027913.pdf
20026726,Cisneros,Gilbert,P,CA31,2/11/2025,2025-02-11,Gilbert Cisneros,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026726.pdf
20027891,Cisneros,Gilbert,P,CA31,3/6/2025,2025-03-06,Gilbert Cisneros,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027891.pdf
20026548,Cohen,Steve,P,TN09,1/10/2025,2025-01-10,Steve Cohen,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026548.pdf
20026489,Collins,Michael A.,P,GA10,1/1/2025,2025-01-01,Michael A. Collins,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026489.pdf
20026696,Collins,Michael A.,P,GA10,2/2/2025,2025-02-02,Michael A. Collins,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026696.pdf
20027820,Collins,Michael A.,P,GA10,2/21/2025,2025-02-21,Michael A. Collins,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027820.pdf
20027962,Collins,Michael A.,P,GA10,3/12/2025,2025-03-12,Michael A. Collins,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027962.pdf
20018054,Comer,James,P,KY01,1/10/2025,2025-01-10,James Comer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20018054.pdf
20026750,Comer,James,P,KY01,2/11/2025,2025-02-11,James Comer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026750.pdf
20026724,Connolly,Gerald E.,P,VA11,2/6/2025,2025-02-06,Gerald E. Connolly,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026724.pdf
20027975,Delaney,April McClain,P,MD06,3/20/2025,2025-03-20,April McClain Delaney,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027975.pdf
20026602,DelBene,Suzan K.,P,WA01,2/9/2025,2025-02-09,Suzan K. DelBene,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026602.pdf
20027807,DelBene,Suzan K.,P,WA01,2/25/2025,2025-02-25,Suzan K. DelBene,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027807.pdf
20027999,DelBene,Suzan K.,P,WA01,3/26/2025,2025-03-26,Suzan K. DelBene,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027999.pdf
20026647,Dingell,Debbie,P,MI06,1/27/2025,2025-01-27,Debbie Dingell,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026647.pdf
20026535,Doggett,Lloyd,P,TX37,1/8/2025,2025-01-08,Lloyd Doggett,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026535.pdf
20027935,Doggett,Lloyd,P,TX37,3/10/2025,2025-03-10,Lloyd Doggett,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027935.pdf
20026712,Donalds,Byron,P,FL19,2/10/2025,2025-02-10,Byron Donalds,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026712.pdf
20027903,Donalds,Byron,P,FL19,3/25/2025,2025-03-25,Byron Donalds,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027903.pdf
20027895,Dunn,"Neal Patrick MD, Facs",P,FL02,3/10/2025,2025-03-10,"Neal Patrick MD, Facs Dunn",https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027895.pdf
20027855,Fields,Cleo,P,LA06,3/14/2025,2025-03-14,Cleo Fields,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027855.pdf
8220753,Fleischmann,"Charles J. ""Chuck""",P,TN03,2/10/2025,2025-02-10,"Charles J. ""Chuck"" Fleischmann",https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/8220753.pdf
20026516,Foxx,Virginia,P,NC05,1/6/2025,2025-01-06,Virginia Foxx,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026516.pdf
20027876,Foxx,Virginia,P,NC05,3/3/2025,2025-03-03,Virginia Foxx,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027876.pdf
20027834,Franklin,Scott Scott,P,FL18,2/23/2025,2025-02-23,Scott Scott Franklin,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027834.pdf
20027995,Franklin,Scott Scott,P,FL18,3/18/2025,2025-03-18,Scott Scott Franklin,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027995.pdf
20027916,Goldman,Daniel,P,NY10,3/28/2025,2025-03-28,Daniel Goldman,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027916.pdf
8220796,Gonzalez,Vicente,P,TX34,3/13/2025,2025-03-13,Vicente Gonzalez,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/8220796.pdf
8220809,Gonzalez,Vicente,P,TX34,3/31/2025,2025-03-31,Vicente Gonzalez,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/8220809.pdf
20026533,Gottheimer,Josh,P,NJ05,1/14/2025,2025-01-14,Josh Gottheimer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026533.pdf
20026732,Gottheimer,Josh,P,NJ05,2/10/2025,2025-02-10,Josh Gottheimer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026732.pdf
20027901,Gottheimer,Josh,P,NJ05,3/6/2025,2025-03-06,Josh Gottheimer,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027901.pdf
20026538,Green,Mark Dr,P,TN07,1/13/2025,2025-01-13,Mark Dr Green,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026538.pdf
20026701,Green,Mark Dr,P,TN07,2/6/2025,2025-02-06,Mark Dr Green,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026701.pdf
20027845,Green,Mark Dr,P,TN07,2/28/2025,2025-02-28,Mark Dr Green,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027845.pdf
20027900,Green,Mark Dr,P,TN07,3/5/2025,2025-03-05,Mark Dr Green,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027900.pdf
20026658,Greene,Marjorie Taylor,P,GA14,1/27/2025,2025-01-27,Marjorie Taylor Greene,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026658.pdf
20026791,Greene,Marjorie Taylor,P,GA14,2/14/2025,2025-02-14,Marjorie Taylor Greene,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026791.pdf
20027933,Greene,Marjorie Taylor,P,GA14,3/9/2025,2025-03-09,Marjorie Taylor Greene,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027933.pdf
20028002,Greene,Marjorie Taylor,P,GA14,3/19/2025,2025-03-19,Marjorie Taylor Greene,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20028002.pdf
20028016,Greene,Marjorie Taylor,P,GA14,3/23/2025,2025-03-23,Marjorie Taylor Greene,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20028016.pdf
20029028,Greene,Marjorie Taylor,P,GA14,3/26/2025,2025-03-26,Marjorie Taylor Greene,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20029028.pdf
20026597,Hern,Kevin,P,OK01,1/15/2025,2025-01-15,Kevin Hern,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026597.pdf
20026794,Hern,Kevin,P,OK01,2/14/2025,2025-02-14,Kevin Hern,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026794.pdf
20026706,Hill,James French,P,AR02,2/4/2025,2025-02-04,James French Hill,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026706.pdf
20026545,Jackson,Jonathan,P,IL01,1/16/2025,2025-01-16,Jonathan Jackson,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026545.pdf
20026762,Johnson,Julie,P,TX32,2/12/2025,2025-02-12,Julie Johnson,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026762.pdf
20027936,Johnson,Julie,P,TX32,3/12/2025,2025-03-12,Julie Johnson,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027936.pdf
20026736,Joyce,David P.,P,OH14,2/7/2025,2025-02-07,David P. Joyce,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026736.pdf
20026591,Kean,Thomas H.,P,NJ07,1/22/2025,2025-01-22,Thomas H. Kean,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026591.pdf
20026802,Kean,Thomas H.,P,NJ07,2/19/2025,2025-02-19,Thomas H. Kean,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026802.pdf
20027931,Kean,Thomas H.,P,NJ07,3/14/2025,2025-03-14,Thomas H. Kean,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027931.pdf
20026556,Keating,William R.,P,MA09,1/15/2025,2025-01-15,William R. Keating,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026556.pdf
20027837,Keating,William R.,P,MA09,2/25/2025,2025-02-25,William R. Keating,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027837.pdf
20028007,Keating,William R.,P,MA09,3/21/2025,2025-03-21,William R. Keating,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20028007.pdf
20026550,Kelly,Mike,P,PA16,1/9/2025,2025-01-09,Mike Kelly,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026550.pdf
20026792,Kelly,Mike,P,PA16,2/14/2025,2025-02-14,Mike Kelly,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026792.pdf
8220750,Khanna,Rohit,P,CA17,2/6/2025,2025-02-06,Rohit Khanna,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/8220750.pdf
8220783,Khanna,Rohit,P,CA17,3/6/2025,2025-03-06,Rohit Khanna,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/8220783.pdf
20027846,Knott,Brad,P,NC13,2/25/2025,2025-02-25,Brad Knott,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027846.pdf
20026551,Landsman,Greg,P,OH01,1/15/2025,2025-01-15,Greg Landsman,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026551.pdf
20027885,Landsman,Greg,P,OH01,3/5/2025,2025-03-05,Greg Landsman,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027885.pdf
20026587,Larsen,Rick,P,WA02,1/14/2025,2025-01-14,Rick Larsen,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026587.pdf
20026650,Latta,Robert E.,P,OH05,1/24/2025,2025-01-24,Robert E. Latta,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026650.pdf
20026513,Lee,Laurel,P,FL15,1/7/2025,2025-01-07,Laurel Lee,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026513.pdf
20027805,Lee,Susie,P,NV03,3/14/2025,2025-03-14,Susie Lee,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027805.pdf
20026638,Manning,Kathy,P,NC06,1/27/2025,2025-01-27,Kathy Manning,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026638.pdf
8220754,McCaul,Michael T.,P,TX10,2/11/2025,2025-02-11,Michael T. McCaul,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/8220754.pdf
20026684,Miller,Max,P,OH07,1/31/2025,2025-01-31,Max Miller,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026684.pdf
20027838,Miller,Max,P,OH07,2/24/2025,2025-02-24,Max Miller,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027838.pdf
20029035,Miller,Max,P,OH07,3/27/2025,2025-03-27,Max Miller,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20029035.pdf
20026796,Moore,Tim,P,NC14,2/15/2025,2025-02-15,Tim Moore,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026796.pdf
20027944,Moore,Tim,P,NC14,3/11/2025,2025-03-11,Tim Moore,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027944.pdf
20026695,Morrison,Kelly Louise,P,MN03,2/2/2025,2025-02-02,Kelly Louise Morrison,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026695.pdf
20027907,Morrison,Kelly Louise,P,MN03,3/10/2025,2025-03-10,Kelly Louise Morrison,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027907.pdf
20027951,Morrison,Kelly Louise,P,MN03,3/11/2025,2025-03-11,Kelly Louise Morrison,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027951.pdf
20026731,Moskowitz,Jared,P,FL23,2/10/2025,2025-02-10,Jared Moskowitz,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026731.pdf
20027896,Moskowitz,Jared,P,FL23,3/6/2025,2025-03-06,Jared Moskowitz,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027896.pdf
20027950,Norton,Eleanor Holmes,P,DC00,3/11/2025,2025-03-11,Eleanor Holmes Norton,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027950.pdf
20026590,Pelosi,Nancy,P,CA11,1/17/2025,2025-01-17,Nancy Pelosi,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026590.pdf
20026577,Peters,Scott H.,P,CA50,1/15/2025,2025-01-15,Scott H. Peters,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026577.pdf
20026774,Peters,Scott H.,P,CA50,2/18/2025,2025-02-18,Scott H. Peters,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026774.pdf
20027961,Peters,Scott H.,P,CA50,3/14/2025,2025-03-14,Scott H. Peters,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027961.pdf
20021220,Pfluger,August Lee,P,TX11,2/15/2025,2025-02-15,August Lee Pfluger,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20021220.pdf
20026756,Randall,Emily,P,WA06,2/11/2025,2025-02-11,Emily Randall,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026756.pdf
20026547,Reschenthaler,Guy Mr,P,PA14,1/9/2025,2025-01-09,Guy Mr Reschenthaler,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026547.pdf
8220755,Rogers,Harold Dallas,P,KY05,2/12/2025,2025-02-12,Harold Dallas Rogers,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/8220755.pdf
8220782,Rogers,Harold Dallas,P,KY05,3/6/2025,2025-03-06,Harold Dallas Rogers,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/8220782.pdf
20027911,Schneider,Bradley S.,P,IL10,3/5/2025,2025-03-05,Bradley S. Schneider,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027911.pdf
8220731,Self,Keith Alan,P,TX03,1/23/2025,2025-01-23,Keith Alan Self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/8220731.pdf
8220768,Sherman,Brad,P,CA32,2/20/2025,2025-02-20,Brad Sherman,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/8220768.pdf
8220770,Sherman,Brad,P,CA32,2/25/2025,2025-02-25,Brad Sherman,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/8220770.pdf
8220780,Sherman,Brad,P,CA32,3/3/2025,2025-03-03,Brad Sherman,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/8220780.pdf
20027937,Sherrill,Mikie,P,NJ11,3/10/2025,2025-03-10,Mikie Sherrill,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027937.pdf
20026770,Shreve,Jefferson,P,IN06,2/12/2025,2025-02-12,Jefferson Shreve,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026770.pdf
20027879,Shreve,Jefferson,P,IN06,3/9/2025,2025-03-09,Jefferson Shreve,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027879.pdf
8220764,Smith,Adrian,P,NE03,2/13/2025,2025-02-13,Adrian Smith,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/8220764.pdf
20026754,Spartz,Victoria,P,IN05,2/10/2025,2025-02-10,Victoria Spartz,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026754.pdf
8220765,Wagner,Ann,P,MO02,2/14/2025,2025-02-14,Ann Wagner,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/8220765.pdf
20026639,Waltz,Michael,P,FL06,1/23/2025,2025-01-23,Michael Waltz,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026639.pdf
20027912,Wasserman Schultz,Debbie,P,FL25,3/6/2025,2025-03-06,Debbie Wasserman Schultz,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027912.pdf
8220757,Wied,Tony,P,WI08,2/10/2025,2025-02-10,Tony Wied,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/8220757.pdf
8220799,Wied,Tony,P,WI08,3/14/2025,2025-03-14,Tony Wied,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/8220799.pdf
20027867,Williams,Roger,P,TX25,3/1/2025,2025-03-01,Roger Williams,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20027867.pdf
20026666,Yakym,Rudy C.,P,IN02,1/28/2025,2025-01-28,Rudy C. Yakym,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20026666.pdf
